names,picture,height,weight
Precious Achiuwa,https://www.basketball-reference.com/req/202106291/images/players/achiupr01.jpg,225lb,6'8
Quincy Acy,https://www.basketball-reference.com/req/202106291/images/players/acyqu01.jpg,240lb,6'7
Jaylen Adams,https://www.basketball-reference.com/req/202106291/images/players/adamsja01.jpg,225lb,6'0
Steven Adams,https://www.basketball-reference.com/req/202106291/images/players/adamsst01.jpg,265lb,6'11
Bam Adebayo,https://www.basketball-reference.com/req/202106291/images/players/adebaba01.jpg,255lb,6'9
Deng Adel,https://www.basketball-reference.com/req/202106291/images/players/adelde01.jpg,200lb,6'7
DeVaughn Akoon-Purcell,https://www.basketball-reference.com/req/202106291/images/players/akoonde01.jpg,200lb,6'6
Santi Aldama,https://www.basketball-reference.com/req/202106291/images/players/aldamsa01.jpg,224lb,6'11
LaMarcus Aldridge,https://www.basketball-reference.com/req/202106291/images/players/aldrila01.jpg,250lb,6'11
Kyle Alexander,https://www.basketball-reference.com/req/202106291/images/players/alexaky01.jpg,220lb,6'11
Ty-Shon Alexander,https://www.basketball-reference.com/req/202106291/images/players/alexaty01.jpg,195lb,6'3
Nickeil Alexander-Walker,https://www.basketball-reference.com/req/202106291/images/players/alexani01.jpg,205lb,6'6
Rawle Alkins,https://www.basketball-reference.com/req/202106291/images/players/alkinra01.jpg,225lb,6'5
Grayson Allen,https://www.basketball-reference.com/req/202106291/images/players/allengr01.jpg,198lb,6'4
Jarrett Allen,https://www.basketball-reference.com/req/202106291/images/players/allenja01.jpg,243lb,6'11
Kadeem Allen,https://www.basketball-reference.com/req/202106291/images/players/allenka01.jpg,200lb,6'1
Jose Alvarado,https://www.basketball-reference.com/req/202106291/images/players/alvarjo01.jpg,179lb,6'0
Al-Farouq Aminu,https://www.basketball-reference.com/req/202106291/images/players/aminual01.jpg,220lb,6'8
Justin Anderson,https://www.basketball-reference.com/req/202106291/images/players/anderju01.jpg,230lb,6'6
Kyle Anderson,https://www.basketball-reference.com/req/202106291/images/players/anderky01.jpg,230lb,6'9
Ryan Anderson,https://www.basketball-reference.com/req/202106291/images/players/anderry01.jpg,240lb,6'9
Ike Anigbogu,https://www.basketball-reference.com/req/202106291/images/players/anigbik01.jpg,250lb,6'10
Giannis Antetokounmpo,https://www.basketball-reference.com/req/202106291/images/players/antetgi01.jpg,242lb,6'11
Kostas Antetokounmpo,https://www.basketball-reference.com/req/202106291/images/players/antetko01.jpg,200lb,6'10
Thanasis Antetokounmpo,https://www.basketball-reference.com/req/202106291/images/players/antetth01.jpg,219lb,6'6
Carmelo Anthony,https://www.basketball-reference.com/req/202106291/images/players/anthoca01.jpg,238lb,6'7
Cole Anthony,https://www.basketball-reference.com/req/202106291/images/players/anthoco01.jpg,185lb,6'2
OG Anunoby,https://www.basketball-reference.com/req/202106291/images/players/anunoog01.jpg,232lb,6'7
Ryan Arcidiacono,https://www.basketball-reference.com/req/202106291/images/players/arcidry01.jpg,195lb,6'3
Trevor Ariza,https://www.basketball-reference.com/req/202106291/images/players/arizatr01.jpg,215lb,6'8
D.J. Augustin,https://www.basketball-reference.com/req/202106291/images/players/augusdj01.jpg,183lb,5'11
Deni Avdija,https://www.basketball-reference.com/req/202106291/images/players/avdijde01.jpg,210lb,6'9
Joel Ayayi,https://www.basketball-reference.com/req/202106291/images/players/ayayijo01.jpg,180lb,6'5
Deandre Ayton,https://www.basketball-reference.com/req/202106291/images/players/aytonde01.jpg,250lb,6'11
Udoka Azubuike,https://www.basketball-reference.com/req/202106291/images/players/azubuud01.jpg,280lb,6'10
Dwayne Bacon,https://www.basketball-reference.com/req/202106291/images/players/bacondw01.jpg,221lb,6'6
Marvin Bagley III,https://www.basketball-reference.com/req/202106291/images/players/baglema01.jpg,235lb,6'11
Wade Baldwin,https://www.basketball-reference.com/req/202106291/images/players/baldwwa01.jpg,200lb,6'4
LaMelo Ball,https://www.basketball-reference.com/req/202106291/images/players/ballla01.jpg,180lb,6'7
Lonzo Ball,https://www.basketball-reference.com/req/202106291/images/players/balllo01.jpg,190lb,6'6
Mo Bamba,https://www.basketball-reference.com/req/202106291/images/players/bambamo01.jpg,231lb,7'0
Desmond Bane,https://www.basketball-reference.com/req/202106291/images/players/banede01.jpg,215lb,6'5
Dalano Banton,https://www.basketball-reference.com/req/202106291/images/players/bantoda01.jpg,204lb,6'9
Cat Barber,https://www.basketball-reference.com/req/202106291/images/players/barbeca01.jpg,190lb,6'2
Harrison Barnes,https://www.basketball-reference.com/req/202106291/images/players/barneha02.jpg,225lb,6'8
Scottie Barnes,https://www.basketball-reference.com/req/202106291/images/players/barnesc01.jpg,227lb,6'9
RJ Barrett,https://www.basketball-reference.com/req/202106291/images/players/barrerj01.jpg,214lb,6'6
Will Barton,https://www.basketball-reference.com/req/202106291/images/players/bartowi01.jpg,181lb,6'6
Paris Bass,NULL,200lb,6'6
Charles Bassey,https://www.basketball-reference.com/req/202106291/images/players/bassech01.jpg,235lb,6'11
Keita Bates-Diop,https://www.basketball-reference.com/req/202106291/images/players/bateske01.jpg,229lb,6'8
Nicolas Batum,https://www.basketball-reference.com/req/202106291/images/players/batumni01.jpg,230lb,6'8
Aron Baynes,https://www.basketball-reference.com/req/202106291/images/players/baynear01.jpg,260lb,6'10
Kent Bazemore,https://www.basketball-reference.com/req/202106291/images/players/bazemke01.jpg,195lb,6'4
Darius Bazley,https://www.basketball-reference.com/req/202106291/images/players/bazleda01.jpg,208lb,6'8
Bradley Beal,https://www.basketball-reference.com/req/202106291/images/players/bealbr01.jpg,207lb,6'4
Malik Beasley,https://www.basketball-reference.com/req/202106291/images/players/beaslma01.jpg,187lb,6'4
Michael Beasley,https://www.basketball-reference.com/req/202106291/images/players/beaslmi01.jpg,235lb,6'9
Jordan Bell,https://www.basketball-reference.com/req/202106291/images/players/belljo01.jpg,216lb,6'8
DeAndre' Bembry,https://www.basketball-reference.com/req/202106291/images/players/bembrde01.jpg,210lb,6'5
Dragan Bender,https://www.basketball-reference.com/req/202106291/images/players/bendedr01.jpg,225lb,7'0
Dairis Bertans,https://www.basketball-reference.com/req/202106291/images/players/bertada02.jpg,200lb,6'4
Davis Bertans,https://www.basketball-reference.com/req/202106291/images/players/bertada01.jpg,225lb,6'10
Patrick Beverley,https://www.basketball-reference.com/req/202106291/images/players/beverpa01.jpg,180lb,6'1
Saddiq Bey,https://www.basketball-reference.com/req/202106291/images/players/beysa01.jpg,215lb,6'7
Tyler Bey,https://www.basketball-reference.com/req/202106291/images/players/beyty01.jpg,215lb,6'7
Khem Birch,https://www.basketball-reference.com/req/202106291/images/players/birchkh01.jpg,233lb,6'9
Jabari Bird,https://www.basketball-reference.com/req/202106291/images/players/birdja01.jpg,198lb,6'6
Goga Bitadze,https://www.basketball-reference.com/req/202106291/images/players/bitadgo01.jpg,250lb,6'11
Bismack Biyombo,https://www.basketball-reference.com/req/202106291/images/players/biyombi01.jpg,255lb,6'8
Nemanja Bjelica,https://www.basketball-reference.com/req/202106291/images/players/bjeline01.jpg,234lb,6'10
Antonio Blakeney,https://www.basketball-reference.com/req/202106291/images/players/blakean01.jpg,192lb,6'4
Eric Bledsoe,https://www.basketball-reference.com/req/202106291/images/players/bledser01.jpg,214lb,6'1
Keljin Blevins,https://www.basketball-reference.com/req/202106291/images/players/blevike01.jpg,200lb,6'4
Jaron Blossomgame,https://www.basketball-reference.com/req/202106291/images/players/blossja01.jpg,220lb,6'8
Bogdan Bogdanovic,https://www.basketball-reference.com/req/202106291/images/players/bogdabo01.jpg,220lb,6'6
Bojan Bogdanovic,https://www.basketball-reference.com/req/202106291/images/players/bogdabo02.jpg,226lb,6'7
Bol Bol,https://www.basketball-reference.com/req/202106291/images/players/bolbo01.jpg,220lb,7'2
Jonah Bolden,https://www.basketball-reference.com/req/202106291/images/players/boldejo01.jpg,220lb,6'8
Marques Bolden,https://www.basketball-reference.com/req/202106291/images/players/boldema01.jpg,249lb,6'10
Leandro Bolmaro,https://www.basketball-reference.com/req/202106291/images/players/bolmale01.jpg,200lb,6'6
