Num,Player,Pos,HT,WT,Age,Current Team,YOS,Pre-Draft Team,Draft Status,Nationality
5,Precious Achiuwa,SF,6-8,235,22,Toronto Raptors,1,Memphis,2020 Rnd 1 Pick 20,Nigeria
4,Steven Adams,C,6-11,265,28,Memphis Grizzlies,8,Pittsburgh,2013 Rnd 1 Pick 12,New Zealand
13,Bam Adebayo,C,6-10,255,24,Miami Heat,4,Kentucky,2017 Rnd 1 Pick 14,United States
7,Santi Aldama,C,6-11,224,21,Memphis Grizzlies,0,Loyola (MD),2021 Rnd 1 Pick 30,Spain
21,LaMarcus Aldridge,FC,6-11,265,36,Brooklyn Nets,15,Texas,2006 Rnd 1 Pick 2,United States
6,Nickeil Alexander-Walker,SG,6-5,205,23,Utah Jazz,2,Virginia Tech,2019 Rnd 1 Pick 17,Canada
7,Grayson Allen,SG,6-4,198,26,Milwaukee Bucks,3,Duke,2018 Rnd 1 Pick 21,United States
31,Jarrett Allen,C,6-11,248,23,Cleveland Cavaliers,4,Texas,2017 Rnd 1 Pick 22,United States
15,Jose Alvarado,G,6-0,179,24,New Orleans Pelicans,0,Georgia Tech,"2021 NBA Draft, Undrafted",United States
1,Kyle Anderson,PF,6-8,230,28,Memphis Grizzlies,7,UCLA,2014 Rnd 1 Pick 30,United States
34,Giannis Antetokounmpo,F,6-11,242,27,Milwaukee Bucks,8,Filathlitikos Div II Greece (Greece),2013 Rnd 1 Pick 15,Greece
,,,,,,,,,,Nigeria
43,Thanasis Antetokounmpo,SF,6-7,215,29,Milwaukee Bucks,3,Delaware 87ers,2014 Rnd 2 Pick 21,Greece
,,,,,,,,,,Nigeria
7,Carmelo Anthony,F,6-8,240,37,Los Angeles Lakers,18,Syracuse,2003 Rnd 1 Pick 3,United States
50,Cole Anthony,PG,6-3,190,21,Orlando Magic,1,North Carolina,2020 Rnd 1 Pick 15,United States
3,Ogugua Anunoby,SF,6-8,232,24,Toronto Raptors,4,Indiana,2017 Rnd 1 Pick 23,England
,,,,,,,,,,United States
51,Ryan Arcidiacono,G,6-3,195,28,New York Knicks,4,Villanova,"2016 NBA Draft, Undrafted",United States
4,D.J. Augustin,G,6-0,183,34,Los Angeles Lakers,13,Texas,2008 Rnd 1 Pick 9,United States
9,Deni Avdija,SG,6-9,210,21,Washington Wizards,1,Maccabi Tel Aviv U18 (Israel),2020 Rnd 1 Pick 9,Israel
22,Deandre Ayton,C,7-1,250,23,Phoenix Suns,3,Arizona,2018 Rnd 1 Pick 1,Bahamas
20,Udoka Azubuike,C,7-0,270,22,Utah Jazz,1,Kansas,2020 Rnd 1 Pick 27,Nigeria
35,Marvin Bagley III,PF,6-11,240,23,Detroit Pistons,3,Duke,2018 Rnd 1 Pick 2,United States
2,LaMelo Ball,G,6-7,185,20,Charlotte Hornets,1,Illawarra (Australia),2020 Rnd 1 Pick 3,United States
2,Lonzo Ball,PG,6-6,190,24,Chicago Bulls,4,UCLA,2017 Rnd 1 Pick 2,United States
5,Mohamed Bamba,C,7-0,250,23,Orlando Magic,3,Texas,2018 Rnd 1 Pick 6,United States
22,Desmond Bane,SG,6-6,215,23,Memphis Grizzlies,1,Texas Christian,2020 Rnd 1 Pick 30,United States
45,Dalano Banton,PG,6-9,204,22,Toronto Raptors,0,Nebraska,2021 Rnd 2 Pick 16,Canada
40,Harrison Barnes,SF,6-8,225,29,Sacramento Kings,9,North Carolina,2012 Rnd 1 Pick 7,United States
4,Scottie Barnes,SF,6-9,227,20,Toronto Raptors,0,Florida State,2021 Rnd 1 Pick 4,United States
9,R.J. Barrett,SG,6-7,202,21,New York Knicks,2,Duke,2019 Rnd 1 Pick 3,Canada
5,Will Barton,GF,6-5,181,31,Denver Nuggets,9,Memphis,2012 Rnd 2 Pick 10,United States
23,Charles Bassey,PF,6-10,235,21,Philadelphia Sixers,0,Western Kentucky,2021 Rnd 2 Pick 23,Nigeria
,,,,,,,,,,United States
31,Keita Bates-Diop,SF,6-8,230,26,San Antonio Spurs,3,Ohio State,2018 Rnd 2 Pick 18,United States
33,Nicolas Batum,F,6-8,230,33,Los Angeles Clippers,13,Le Mans Sarthe Basket (France),2008 Rnd 1 Pick 25,France
9,Kent Bazemore,GF,6-4,195,32,Los Angeles Lakers,9,Old Dominion,"2012 NBA Draft, Undrafted",United States
7,Darius Bazley,PF,6-8,208,21,Oklahoma City Thunder,2,,2019 Rnd 1 Pick 23,United States
3,Bradley Beal,SG,6-3,207,28,Washington Wizards,9,Florida,2012 Rnd 1 Pick 3,United States
5,Malik Beasley,SG,6-4,196,25,Minnesota Timberwolves,5,Florida State,2016 Rnd 1 Pick 19,United States
44,Davis Bertans,SF,6-10,225,29,Dallas Mavericks,5,Union Olimpija (Slovenia),2011 Rnd 2 Pick 12,Latvia
22,Patrick Beverley,PG,6-1,180,33,Minnesota Timberwolves,9,Dnipro Dnipropetrovsk (Ukraine),2009 Rnd 2 Pick 12,United States
41,Saddiq Bey,F,6-8,215,23,Detroit Pistons,1,Villanova,2020 Rnd 1 Pick 19,United States
24,Khem Birch,PF,6-9,230,29,Toronto Raptors,4,UNLV,"2014 NBA Draft, Undrafted",Canada
88,Goga Bitadze,C,6-11,245,22,Indiana Pacers,2,KK Mega Bemax (Serbia),2019 Rnd 1 Pick 18,Georgia
18,Bismack Biyombo,PF,6-9,255,29,Phoenix Suns,10,Urbas Fuenlabrada (Spain),2011 Rnd 1 Pick 7,Democratic Republic of the Congo
8,Nemanja Bjelica,PF,6-10,235,33,Golden State Warriors,6,KK Crvena Zvezda (Serbia),2010 Rnd 2 Pick 5,Serbia
5,Eric Bledsoe,PG,6-1,214,32,Portland Trail Blazers,11,Kentucky,2010 Rnd 1 Pick 18,United States
21,Keljin Blevins,G,6-4,200,26,Portland Trail Blazers,1,Montana State,"2019 NBA Draft, Undrafted",United States
13,Bogdan Bogdanovic,SG,6-6,220,29,Atlanta Hawks,4,KK Partizan (Serbia),2014 Rnd 1 Pick 27,Serbia
44,Bojan Bogdanovic,F,6-8,216,33,Utah Jazz,7,KK Cibona (Croatia),2011 Rnd 2 Pick 1,Bosnia and Herzegovina
,,,,,,,,,,Croatia
10,Bol Bol,C,7-2,209,22,Orlando Magic,2,Oregon,2019 Rnd 2 Pick 14,United States
9,Leandro Bolmaro,SG,6-6,200,21,Minnesota Timberwolves,0,FC Barcelona II (Spain),2020 Rnd 1 Pick 23,Argentina
17,Isaac Bonga,SG,6-8,180,22,Toronto Raptors,3,Fraport Skyliners (Germany),2018 Rnd 2 Pick 9,Germany
1,Devin Booker,SG,6-6,206,25,Phoenix Suns,6,Kentucky,2015 Rnd 1 Pick 13,United States
4,"B.J. Boston, Jr.",SG,6-6,188,20,Los Angeles Clippers,0,Kentucky,2021 Rnd 2 Pick 21,United States
25,Chris Boucher,PF,6-10,200,29,Toronto Raptors,4,Oregon,"2017 NBA Draft, Undrafted",Saint Lucia
,,,,,,,,,,Canada
5,James Bouknight,G,6-4,185,21,Charlotte Hornets,0,Connecticut,2021 Rnd 1 Pick 11,United States
20,Avery Bradley,PG,6-3,180,31,Los Angeles Lakers,11,Texas,2010 Rnd 1 Pick 19,United States
13,Tony Bradley,C,6-11,248,24,Chicago Bulls,4,North Carolina,2017 Rnd 1 Pick 28,United States
17,Ignas Brazdeikis,SF,6-6,221,23,Orlando Magic,2,Michigan,2019 Rnd 2 Pick 17,Lithuania
,,,,,,,,,,Canada
25,Mikal Bridges,SG,6-7,210,25,Phoenix Suns,3,Villanova,2018 Rnd 1 Pick 10,United States
0,Miles Bridges,SF,6-7,225,24,Charlotte Hornets,3,Michigan State,2018 Rnd 1 Pick 12,United States
12,OShae Brissett,PF,6-7,210,23,Indiana Pacers,2,Syracuse,"2019 NBA Draft, Undrafted",Canada
7,Malcolm Brogdon,SG,6-5,229,29,Indiana Pacers,5,Virginia,2016 Rnd 2 Pick 6,United States
7,Armoni Brooks,SG,6-3,195,23,Toronto Raptors,1,Houston,"2019 NBA Draft, Undrafted",United States
24,Dillon Brooks,F,6-6,215,26,Memphis Grizzlies,4,Oregon,2017 Rnd 2 Pick 15,Canada
4,Greg Brown III,SF,6-8,206,20,Portland Trail Blazers,0,Texas,2021 Rnd 2 Pick 13,United States
16,Charlie Brown,SG,6-6,199,25,Philadelphia Sixers,2,Saint Joseph's,"2019 NBA Draft, Undrafted",United States
45,Chaundee Brown,SF,6-5,215,23,Atlanta Hawks,0,Michigan,"2021 NBA Draft, Undrafted",United States
7,Jaylen Brown,SF,6-6,220,25,Boston Celtics,5,California,2016 Rnd 1 Pick 3,United States
1,"Bruce Brown, Jr.",SG,6-4,202,25,Brooklyn Nets,3,Miami (FL),2018 Rnd 2 Pick 12,United States
7,"Troy Brown, Jr.",SF,6-6,215,22,Chicago Bulls,3,Oregon,2018 Rnd 1 Pick 15,United States
6,Moses Brown,C,7-1,245,22,Cleveland Cavaliers,2,UCLA,"2019 NBA Draft, Undrafted",United States
0,Sterling Brown,G,6-5,219,27,Dallas Mavericks,4,Southern Methodist,2017 Rnd 2 Pick 16,United States
13,Jalen Brunson,PG,6-1,190,25,Dallas Mavericks,3,Villanova,2018 Rnd 2 Pick 3,United States
