"Team","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","MP1","TS.","eFG.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","ORtg","DRtg","Year","Month","Day","FullDate","HomeAway","gameid","BubbleGame","Playoff","Season","Standings","Opponents.Standing","attendance","OT","Opponents.PTS","Win","Made.Playoffs","season","team_season","opp_pts","WinLoss","empty"
"Boston Celtics",240,42,97,0.433,11,37,0.297,10,14,0.714,12,43,55,21,7,5,14,20,105,240,0.509,0.49,0.381,0.144,22.6,87.8,53.9,50,6.7,8.2,11.9,100,100.7,83.4,2018,10,16,"2018-10-16","Home",1,0,0,"2018-2019","49-33","51-31","18,624",0,87,1,1,"1","Boston Celtics1",87,"Win","0"
"Philadelphia 76ers",240,34,87,0.391,5,26,0.192,14,23,0.609,6,41,47,18,8,5,16,20,87,240,0.448,0.42,0.299,0.264,12.2,77.4,46.1,52.9,7.7,8.3,14.1,100,83.4,100.7,2018,10,16,"2018-10-16","Away",1,0,0,"2018-2019","51-31","49-33","18,624",0,105,0,1,"1","Philadelphia 76ers1",105,"Loss","0"
"Golden State Warriors",240,42,95,0.442,7,26,0.269,17,18,0.944,17,41,58,28,7,7,21,29,108,240,0.525,0.479,0.274,0.189,37,71.9,56.3,66.7,6.8,13,16.9,100,105.6,97.7,2018,10,16,"2018-10-16","Home",2,0,0,"2018-2019","57-25","49-33","19,596",0,100,1,1,"1","Golden State Warriors1",100,"Win","0"
"Oklahoma City Thunder",240,33,91,0.363,10,37,0.27,24,37,0.649,16,29,45,21,12,6,14,21,100,240,0.466,0.418,0.407,0.407,28.1,63,43.7,63.6,11.7,8.7,11.5,100,97.7,105.6,2018,10,16,"2018-10-16","Away",2,0,0,"2018-2019","49-33","57-25","19,596",0,108,0,1,"1","Oklahoma City Thunder1",108,"Loss","0"
"Charlotte Hornets",240,41,92,0.446,16,38,0.421,14,22,0.636,9,32,41,21,8,9,11,19,112,240,0.551,0.533,0.413,0.239,16.4,74.4,41.8,51.2,7.8,17.6,9.8,100,109.2,110.2,2018,10,17,"2018-10-17","Home",3,0,0,"2018-2019","39-43","60-22","17,889",0,113,0,0,"1","Charlotte Hornets1",113,"Loss","0"
"Milwaukee Bucks",240,42,85,0.494,14,34,0.412,15,20,0.75,11,46,57,26,5,4,21,25,113,240,0.602,0.576,0.4,0.235,25.6,83.6,58.2,61.9,4.9,7.4,18.3,100,110.2,109.2,2018,10,17,"2018-10-17","Away",3,0,0,"2018-2019","60-22","39-43","17,889",0,112,1,1,"1","Milwaukee Bucks1",112,"Win","0"
"Detroit Pistons",240,39,92,0.424,6,24,0.25,19,22,0.864,14,32,46,21,5,5,14,20,103,240,0.506,0.457,0.261,0.239,29.2,86.5,54.1,53.8,5,9.1,12.1,100,103,100,2018,10,17,"2018-10-17","Home",4,0,0,"2018-2019","41-41","42-40","20,332",0,100,1,1,"1","Detroit Pistons1",100,"Win","0"
"Brooklyn Nets",240,40,82,0.488,5,27,0.185,15,22,0.682,5,34,39,28,9,5,17,23,100,240,0.545,0.518,0.329,0.268,13.5,70.8,45.9,70,9,7.4,15.6,100,100,103,2018,10,17,"2018-10-17","Away",4,0,0,"2018-2019","42-40","41-41","20,332",0,103,0,1,"1","Brooklyn Nets1",103,"Loss","0"
"Indiana Pacers",240,47,83,0.566,10,26,0.385,7,13,0.538,13,44,57,29,2,7,20,24,111,240,0.626,0.627,0.313,0.157,38.2,86.3,67.1,61.7,2.1,12.7,18.4,100,118.7,88.8,2018,10,17,"2018-10-17","Home",5,0,0,"2018-2019","48-34","33-49","17,923",0,83,1,1,"1","Indiana Pacers1",83,"Win","0"
"Memphis Grizzlies",240,25,84,0.298,10,29,0.345,23,28,0.821,7,21,28,16,11,3,7,18,83,240,0.431,0.357,0.345,0.333,13.7,61.8,32.9,64,11.8,5.3,6.8,100,88.8,118.7,2018,10,17,"2018-10-17","Away",5,0,0,"2018-2019","33-49","48-34","17,923",0,111,0,0,"1","Memphis Grizzlies1",111,"Loss","0"
